date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-08-29 11:00:00,501.5,-97.87,-1.82,3.2,-2.91,-1.22,-2.37,2788.7,2394.2,4337.7,2026-08-28 14:12:15,2026-08-29 10:38:51
2026-08-29 12:00:00,40.0,-26.59,-2.76,1.6,-1.97,-2.81,-3.24,3550.4,3063.8,5727.9,2026-08-28 14:12:15,2026-08-29 11:39:38
2026-08-29 13:00:00,5.34,-26.3,-1.54,0.6,-1.89,-0.83,-1.23,2794.8,2316.8,4434.5,2026-08-28 14:12:16,2026-08-29 12:39:40
2026-08-29 14:00:00,25.1,-10.39,-0.34,2.81,-4.02,-0.12,-0.26,2879.8,2182.7,4323.7,2026-08-28 14:12:17,2026-08-29 13:39:50
2026-08-29 15:00:00,36.9,-11.66,0.94,2.2,-0.07,-0.01,0.49,3471.9,2527.2,5333.5,2026-08-28 14:18:20,2026-08-29 14:39:45
2026-08-29 16:00:00,66.1,-9.74,6.89,-2.0,0.4,1.6,4.86,2926.3,2538.2,4704.1,2026-08-28 14:00:22,2026-08-29 15:39:30
2026-08-29 17:00:00,169.37,-5.0,55.47,52.35,41.6,48.82,48.63,3139.7,2733.4,5006.1,2026-08-28 14:25:04,2026-08-29 16:39:59
2026-08-29 18:00:00,189.27,31.42,128.02,161.58,81.08,120.49,122.38,4093.7,3540.4,6584.4,2026-08-28 14:17:26,2026-08-29 17:39:32
2026-08-29 19:00:00,368.03,89.99,155.77,186.55,262.36,142.55,147.98,4484.1,4055.0,7585.8,2026-08-28 14:17:54,2026-08-29 18:39:00
2026-08-29 20:00:00,679.7,141.61,174.03,182.51,289.99,209.86,174.21,4526.0,3950.9,7534.0,2026-08-28 14:34:12,2026-08-29 19:39:52
2026-08-29 21:00:00,339.5,79.08,154.78,168.35,94.5,169.47,154.84,4897.9,4080.8,7942.5,2026-08-28 14:34:16,2026-08-29 20:39:50
2026-08-29 22:00:00,172.19,19.7,126.12,170.9,82.99,102.52,120.24,4213.5,3911.3,7262.9,2026-08-28 14:28:51,2026-08-29 21:39:32
2026-08-29 23:00:00,151.11,44.91,104.45,150.77,125.37,82.01,94.5,3028.3,2986.1,5460.8,2026-08-28 14:25:30,2026-08-29 22:39:56
2026-08-30 00:00:00,298.48,57.5,93.19,116.19,167.1,99.7,91.82,2427.9,2510.9,4310.6,2026-08-29 14:15:08,2026-08-29 23:39:55
2026-08-30 01:00:00,286.91,55.64,89.28,98.4,180.0,105.76,91.28,3135.5,3113.8,5470.3,2026-08-29 14:22:31,2026-08-30 00:39:53
2026-08-30 02:00:00,140.0,36.24,80.67,83.51,113.97,104.23,86.49,2252.5,2586.1,4380.8,2026-08-29 14:22:38,2026-08-30 01:39:18
2026-08-30 03:00:00,161.06,28.07,75.79,74.47,120.51,87.78,85.1,2605.8,2863.1,4930.2,2026-08-29 14:19:22,2026-08-30 02:39:50
2026-08-30 04:00:00,125.37,29.27,69.2,64.58,63.1,89.6,80.32,2491.7,2795.4,4741.3,2026-08-29 14:22:52,2026-08-30 03:39:16
2026-08-30 05:00:00,115.59,31.27,70.07,66.95,53.3,84.76,78.89,2481.5,2552.1,4446.7,2026-08-29 14:22:59,2026-08-30 04:39:59
2026-08-30 06:00:00,149.05,12.91,58.3,64.91,18.0,55.58,62.31,2334.2,2475.8,4197.6,2026-08-29 14:21:25,2026-08-30 05:39:24
2026-08-30 07:00:00,117.97,11.14,44.47,53.18,20.51,39.67,45.1,2871.1,2969.5,5035.2,2026-08-29 14:23:29,2026-08-30 06:39:46
2026-08-30 08:00:00,52.88,-4.99,12.7,50.0,-0.2,10.71,10.6,2714.7,2159.5,4268.9,2026-08-29 14:20:00,2026-08-30 07:39:45
2026-08-30 09:00:00,13.23,-5.0,1.66,0.2,-0.46,0.44,1.11,2747.3,1952.4,4187.3,2026-08-29 14:14:55,2026-08-30 08:39:31
2026-08-30 10:00:00,7.76,-7.14,0.12,4.1,2.98,0.15,0.05,2897.2,1876.5,4022.6,2026-08-29 14:08:44,2026-08-30 09:39:24
2026-08-30 11:00:00,13.07,-45.05,0.04,0.11,0.43,0.21,0.05,2589.9,2088.8,4174.8,2026-08-29 14:01:47,2026-08-30 10:39:36
2026-08-30 12:00:00,4.39,-5.0,0.04,0.61,-0.66,-0.09,-0.01,2327.2,1772.0,3475.5,2026-08-29 14:01:48,2026-08-30 11:39:21
2026-08-30 13:00:00,5.46,-121.68,-0.15,-3.0,-3.84,-0.1,-0.12,1531.3,1118.8,2362.7,2026-08-29 14:00:22,2026-08-30 12:36:12
2026-08-30 14:00:00,25.76,-21.41,0.05,1.1,-0.04,0.31,0.08,2443.4,1415.1,3425.5,2026-08-29 14:00:22,2026-08-30 13:39:23
2026-08-30 15:00:00,9.76,-5.0,0.85,-0.8,-1.62,1.22,1.02,2876.7,1765.0,4031.1,2026-08-29 14:00:22,2026-08-30 14:39:20
2026-08-30 16:00:00,52.45,-4.99,10.39,-0.05,0.33,8.68,12.46,2706.9,1987.5,3946.1,2026-08-29 14:00:43,2026-08-30 15:39:25
2026-08-30 17:00:00,187.46,-7.85,77.89,7.2,180.91,85.16,81.2,3159.2,2867.3,5115.2,2026-08-29 14:20:03,2026-08-30 16:39:18
2026-08-30 18:00:00,226.65,48.41,171.51,112.2,188.0,185.74,175.71,3909.4,4421.5,7320.6,2026-08-29 14:19:40,2026-08-30 17:39:29
2026-08-30 19:00:00,276.57,127.2,198.9,182.1,246.9,205.02,202.77,3918.3,4404.0,7441.0,2026-08-29 14:08:47,2026-08-30 18:39:57
2026-08-30 20:00:00,971.12,184.25,221.57,197.8,295.44,258.12,230.74,3094.5,3645.1,6028.3,2026-08-29 14:25:41,2026-08-30 19:39:00
2026-08-30 21:00:00,432.8,179.62,227.5,198.0,199.82,277.04,243.71,2910.4,3458.9,5711.7,2026-08-29 14:06:53,2026-08-30 20:39:34
2026-08-30 22:00:00,365.17,166.74,217.21,187.3,168.01,235.46,232.17,3363.5,4223.5,6886.9,2026-08-29 14:08:43,2026-08-30 21:39:25
2026-08-30 23:00:00,246.81,155.65,196.63,178.4,226.62,201.68,204.67,2989.3,4209.3,6559.5,2026-08-29 15:09:33,2026-08-30 22:39:46
2026-08-31 00:00:00,277.5,154.79,185.76,183.59,200.4,197.39,189.51,1681.8,2508.5,3659.8,2026-08-30 14:28:43,2026-08-30 23:39:38
2026-08-31 01:00:00,380.41,141.84,182.14,155.11,209.99,200.71,190.0,1723.4,2058.5,3162.3,2026-08-30 14:51:18,2026-08-31 00:39:51
2026-08-31 02:00:00,270.3,134.47,171.13,144.27,162.92,191.94,182.15,1993.4,2143.9,3633.4,2026-08-30 14:20:00,2026-08-31 01:39:28
2026-08-31 03:00:00,191.0,115.94,157.36,150.2,160.22,161.71,166.11,3122.6,2736.0,4965.0,2026-08-30 14:16:30,2026-08-31 02:39:17
2026-08-31 04:00:00,198.42,128.07,156.68,141.3,193.35,158.58,164.48,2996.1,2845.5,5148.8,2026-08-30 14:16:30,2026-08-31 03:39:46
2026-08-31 05:00:00,206.63,131.94,167.2,140.3,165.95,178.06,172.18,2239.9,2256.5,3959.1,2026-08-30 14:00:26,2026-08-31 04:39:53
2026-08-31 06:00:00,264.25,145.67,187.52,146.62,216.53,195.49,192.13,2489.5,2488.4,4332.1,2026-08-30 14:19:02,2026-08-31 05:39:55
2026-08-31 07:00:00,246.79,158.45,204.32,166.3,214.56,214.17,210.33,3063.8,3811.6,6111.7,2026-08-30 14:16:42,2026-08-31 06:39:19
2026-08-31 08:00:00,437.04,97.85,190.25,170.78,115.63,208.81,195.22,3248.8,3269.6,5750.3,2026-08-30 14:20:00,2026-08-31 07:39:20
2026-08-31 09:00:00,276.5,85.53,153.83,166.52,103.99,156.18,157.66,3774.4,3658.8,6434.7,2026-08-30 14:01:47,2026-08-31 08:39:18
2026-08-31 10:00:00,548.5,0.01,86.75,47.4,102.09,110.56,95.23,3799.7,3492.5,6151.7,2026-08-30 14:16:30,2026-08-31 09:39:58
2026-08-31 11:00:00,117.9,-5.0,16.01,-3.0,0.3,17.04,14.12,4357.9,3285.4,6696.2,2026-08-30 14:00:26,2026-08-31 10:39:27
2026-08-31 12:00:00,30.82,-5.0,3.76,1.2,-0.96,-0.23,1.36,4568.2,3271.0,6935.8,2026-08-30 14:25:00,2026-08-31 11:39:23
2026-08-31 13:00:00,89.01,-11.58,3.02,-0.8,-0.34,-0.42,1.01,3421.5,3088.2,5813.4,2026-08-30 14:18:08,2026-08-31 12:39:32
2026-08-31 14:00:00,72.11,-5.0,2.31,-0.89,-0.1,-0.15,-0.17,3775.5,3316.8,6305.8,2026-08-30 14:16:59,2026-08-31 13:39:51
2026-08-31 15:00:00,36.65,-5.0,4.54,2.98,-0.03,-0.32,1.53,3568.9,2785.0,5611.1,2026-08-30 14:19:08,2026-08-31 14:39:17
2026-08-31 16:00:00,90.61,-4.6,9.01,2.0,14.51,2.76,4.1,3283.9,2672.2,5232.6,2026-08-30 14:16:50,2026-08-31 15:39:17
2026-08-31 17:00:00,159.73,3.01,87.28,16.59,127.22,96.88,87.0,3376.8,3096.2,5625.2,2026-08-30 14:52:29,2026-08-31 16:39:17
2026-08-31 18:00:00,204.46,27.61,159.61,188.8,72.17,154.78,158.63,3443.5,3860.4,6193.7,2026-08-30 14:14:11,2026-08-31 17:39:58
2026-08-31 19:00:00,249.21,99.51,190.07,205.7,199.99,182.74,189.14,4450.7,4698.1,7847.9,2026-08-30 14:07:57,2026-08-31 18:39:51
2026-08-31 20:00:00,242.06,161.43,202.34,189.4,170.97,197.42,202.3,5055.3,5476.4,9420.9,2026-08-30 14:08:00,2026-08-31 19:39:25
2026-08-31 21:00:00,225.0,165.27,192.68,208.24,187.74,183.82,191.37,4662.0,4519.6,7834.0,2026-08-30 14:20:07,2026-08-31 20:39:26
2026-08-31 22:00:00,228.32,145.76,176.18,179.12,207.6,179.64,176.57,3623.5,3732.2,6488.8,2026-08-30 14:20:00,2026-08-31 21:39:06
2026-08-31 23:00:00,225.4,102.88,161.17,146.1,113.99,172.35,162.75,2512.2,2744.8,4541.1,2026-08-30 14:20:00,2026-08-31 22:39:28
2026-09-01 00:00:00,193.24,129.23,165.69,151.55,158.3,162.49,166.99,2447.6,2087.9,3748.9,2026-08-31 14:07:03,2026-08-31 23:39:18
2026-09-01 01:00:00,221.97,125.77,154.91,148.44,135.3,156.2,155.56,1733.0,1703.2,2864.7,2026-08-31 14:23:43,2026-09-01 00:39:27
2026-09-01 02:00:00,164.78,110.38,145.0,148.94,131.75,140.47,143.3,2484.9,2170.1,3673.2,2026-08-31 14:21:51,2026-09-01 01:39:18
2026-09-01 03:00:00,178.1,119.42,144.91,150.06,133.47,140.58,142.6,2181.4,1694.3,3407.4,2026-08-31 14:28:01,2026-09-01 02:39:14
2026-09-01 04:00:00,202.99,132.21,146.72,155.67,188.72,147.82,145.16,1841.2,1501.6,2971.7,2026-08-31 14:20:00,2026-09-01 03:39:38
2026-09-01 05:00:00,206.68,83.41,158.67,156.87,115.59,161.38,158.23,2137.1,1725.6,3204.0,2026-08-31 14:34:48,2026-09-01 04:39:28
2026-09-01 06:00:00,212.18,118.78,187.09,194.34,174.66,181.44,184.48,2714.2,3152.6,5093.0,2026-08-31 14:20:00,2026-09-01 05:39:27
2026-09-01 07:00:00,235.3,156.0,200.16,209.4,199.18,192.67,197.26,2747.0,2643.6,4581.5,2026-08-31 14:22:48,2026-09-01 06:39:10
2026-09-01 08:00:00,228.75,109.43,183.11,213.9,169.79,174.31,178.86,3526.4,3566.6,6063.5,2026-08-31 14:08:30,2026-09-01 07:39:01
2026-09-01 09:00:00,327.79,102.63,145.8,187.4,150.01,139.26,141.04,2864.7,2873.4,4845.4,2026-08-31 14:16:32,2026-09-01 08:39:55
2026-09-01 10:00:00,163.71,9.8,110.47,136.9,20.02,101.73,107.08,4833.7,3680.3,7411.8,2026-08-31 14:16:43,2026-09-01 09:39:51
2026-09-01 11:00:00,128.51,-3.58,67.02,88.87,30.0,48.05,59.5,4292.5,3266.6,6625.2,2026-08-31 14:20:10,2026-09-01 10:39:11
2026-09-01 12:00:00,93.93,-2.41,39.29,73.04,-0.53,26.74,32.85,4676.9,3735.3,7589.2,2026-08-31 14:04:58,2026-09-01 11:39:13
2026-09-01 13:00:00,74.93,-5.99,26.0,34.91,0.0,11.2,20.77,4976.6,3798.2,7990.1,2026-08-31 14:08:17,2026-09-01 12:38:13
2026-09-01 14:00:00,72.85,-7.0,23.03,48.01,-4.99,8.97,14.49,3849.2,3080.3,6265.0,2026-08-31 14:25:45,2026-09-01 13:39:56
2026-09-01 15:00:00,99.59,-5.04,32.84,44.32,57.3,19.41,23.12,3784.3,3208.3,6122.3,2026-08-31 14:05:49,2026-09-01 14:39:59
2026-09-01 16:00:00,142.28,-3.76,77.91,91.32,0.01,64.63,74.26,3177.8,2638.9,5072.3,2026-08-31 14:15:52,2026-09-01 15:39:51
2026-09-01 17:00:00,187.78,-13.93,119.75,115.79,57.51,91.09,112.36,3144.9,2615.8,4877.5,2026-08-31 14:30:36,2026-09-01 16:39:51
2026-09-01 18:00:00,226.4,18.68,174.12,206.22,196.48,162.08,169.43,4145.6,3016.6,6331.9,2026-08-31 14:20:54,2026-09-01 17:02:38
2026-09-01 19:00:00,264.01,190.8,217.74,231.1,227.55,233.66,216.7,2497.4,2268.0,4500.6,2026-08-31 14:07:16,2026-09-01 17:02:39
2026-09-01 20:00:00,254.81,215.9,236.53,238.47,240.1,,232.65,1487.2,1672.1,3033.5,2026-08-31 14:24:58,2026-09-01 17:01:33
2026-09-01 21:00:00,243.92,195.59,218.8,226.9,237.94,,225.35,1215.1,1196.5,2307.9,2026-08-31 14:20:11,2026-09-01 17:01:33
2026-09-01 22:00:00,226.67,182.34,207.25,207.31,215.0,,,821.4,673.6,1426.0,2026-08-31 14:49:38,2026-09-01 17:02:10
2026-09-01 23:00:00,199.3,165.45,182.76,197.49,197.12,,,721.8,606.3,1259.0,2026-08-31 15:00:06,2026-09-01 17:01:18
