date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-08-31 16:00:00,63.57,-38.89,8.38,6.0,19.81,0.86,4.05,965.5,992.2,1864.5,2026-08-30 14:16:50,2026-08-31 15:39:16
2026-08-31 17:00:00,155.34,0.03,89.75,14.16,136.36,96.8,86.76,768.8,917.3,1556.2,2026-08-30 14:46:49,2026-08-31 16:39:20
2026-08-31 18:00:00,200.3,50.91,160.74,190.11,70.02,154.71,158.94,1577.3,1353.6,2727.0,2026-08-30 14:07:12,2026-08-31 17:38:15
2026-08-31 19:00:00,248.98,108.53,188.87,175.34,188.71,184.96,187.73,1402.6,1183.2,2340.5,2026-08-30 14:00:26,2026-08-31 18:39:30
2026-08-31 20:00:00,240.53,162.5,201.73,189.4,176.68,200.09,202.1,1215.8,1329.0,2436.0,2026-08-30 14:08:00,2026-08-31 19:39:48
2026-08-31 21:00:00,278.51,117.16,193.27,206.51,168.91,187.27,193.82,806.2,1046.1,1789.3,2026-08-30 14:41:09,2026-08-31 20:39:13
2026-08-31 22:00:00,245.47,121.76,176.81,178.4,188.42,181.37,178.76,639.7,795.1,1326.3,2026-08-30 14:20:01,2026-08-31 21:39:41
2026-08-31 23:00:00,233.77,98.53,161.39,162.72,108.29,170.0,164.16,411.6,755.8,1100.4,2026-08-30 14:41:17,2026-08-31 22:39:59
2026-09-01 00:00:00,344.92,-42.29,169.57,163.98,133.16,169.9,171.47,582.4,414.9,947.9,2026-08-31 14:20:42,2026-08-31 23:39:50
2026-09-01 01:00:00,228.4,136.3,155.76,148.8,160.4,156.3,156.01,340.5,218.6,507.9,2026-08-31 14:25:20,2026-09-01 00:39:06
2026-09-01 02:00:00,329.27,43.92,147.83,152.53,172.69,143.87,145.71,503.3,358.9,809.8,2026-08-31 14:31:35,2026-09-01 01:39:59
2026-09-01 03:00:00,190.37,109.14,146.32,149.75,134.23,140.69,142.87,597.7,314.2,857.1,2026-08-31 14:20:29,2026-09-01 02:39:16
2026-09-01 04:00:00,202.38,129.02,147.8,155.12,190.03,147.65,145.07,560.0,295.9,823.3,2026-08-31 14:49:40,2026-09-01 03:39:38
2026-09-01 05:00:00,210.18,74.41,159.8,156.26,119.1,161.59,158.96,510.2,335.8,788.8,2026-08-31 14:34:48,2026-09-01 04:39:28
2026-09-01 06:00:00,232.05,120.05,187.93,178.28,165.3,178.15,181.65,604.4,595.8,1122.3,2026-08-31 14:28:07,2026-09-01 05:39:44
2026-09-01 07:00:00,222.9,154.8,203.21,209.4,190.91,192.24,196.41,585.1,534.7,1033.9,2026-08-31 14:22:48,2026-09-01 06:39:56
2026-09-01 08:00:00,260.99,87.7,184.6,218.8,167.07,170.2,178.12,826.8,654.0,1359.0,2026-08-31 14:22:57,2026-09-01 07:39:22
2026-09-01 09:00:00,299.99,101.77,147.89,151.6,166.2,142.15,143.1,821.8,691.8,1338.5,2026-08-31 14:16:32,2026-09-01 08:39:38
2026-09-01 10:00:00,160.02,-19.96,108.89,136.9,8.72,100.27,102.19,1014.0,823.7,1632.0,2026-08-31 14:16:43,2026-09-01 09:39:33
2026-09-01 11:00:00,127.31,6.63,69.39,119.28,32.82,53.24,60.64,921.8,944.2,1754.3,2026-08-31 14:05:50,2026-09-01 10:39:24
2026-09-01 12:00:00,93.09,-16.25,38.64,73.04,0.0,26.88,31.15,920.3,892.4,1722.8,2026-08-31 14:04:58,2026-09-01 11:39:59
2026-09-01 13:00:00,72.9,-14.27,24.47,46.88,-8.28,14.87,19.17,912.9,1065.3,1867.8,2026-08-31 14:15:53,2026-09-01 12:39:14
2026-09-01 14:00:00,73.31,-16.79,21.68,35.75,4.6,9.39,13.25,606.0,779.9,1278.4,2026-08-31 14:04:58,2026-09-01 13:39:31
2026-09-01 15:00:00,99.7,-43.38,33.86,41.53,60.0,19.16,21.8,817.5,843.2,1489.6,2026-08-31 14:04:03,2026-09-01 14:39:51
2026-09-01 16:00:00,141.04,-16.38,81.68,76.15,-16.38,71.43,76.05,997.7,958.8,1735.7,2026-08-31 14:15:52,2026-09-01 15:38:30
2026-09-01 17:00:00,187.5,-127.98,120.27,117.05,63.46,92.32,115.04,924.9,901.1,1593.9,2026-08-31 14:30:40,2026-09-01 16:39:34
2026-09-01 18:00:00,234.9,22.49,175.41,191.48,199.65,169.72,169.56,766.7,684.8,1354.9,2026-08-31 14:21:29,2026-09-01 17:39:16
2026-09-01 19:00:00,368.89,139.6,219.53,233.4,209.0,224.03,220.2,534.4,632.9,1112.7,2026-08-31 14:20:06,2026-09-01 18:39:59
2026-09-01 20:00:00,6643.96,115.31,243.65,236.3,6643.96,253.92,247.56,560.6,670.1,1115.7,2026-08-31 14:24:58,2026-09-01 19:38:01
2026-09-01 21:00:00,3908.98,195.44,310.72,225.4,301.08,385.64,341.81,809.4,812.8,1485.0,2026-08-31 14:24:58,2026-09-01 20:39:30
2026-09-01 22:00:00,752.93,12.36,250.57,210.8,240.23,316.23,267.17,587.4,830.1,1318.5,2026-08-31 14:08:38,2026-09-01 21:39:13
2026-09-01 23:00:00,284.57,163.18,201.01,180.9,188.48,205.65,207.87,516.2,698.5,1118.0,2026-08-31 14:20:03,2026-09-01 22:39:31
2026-09-02 00:00:00,360.39,134.13,196.1,157.57,215.17,202.94,199.78,346.0,408.0,738.7,2026-09-01 14:33:18,2026-09-01 23:39:59
2026-09-02 01:00:00,229.17,135.32,183.76,162.6,192.72,192.59,190.49,338.7,469.2,795.6,2026-09-01 14:28:47,2026-09-02 00:39:11
2026-09-02 02:00:00,256.19,136.71,180.66,145.78,252.9,189.98,185.23,303.5,368.1,662.2,2026-09-01 14:00:26,2026-09-02 01:39:59
2026-09-02 03:00:00,323.7,151.72,184.08,154.99,244.67,201.11,192.92,403.4,451.1,828.2,2026-09-01 14:26:59,2026-09-02 02:39:21
2026-09-02 04:00:00,260.5,115.5,196.01,144.4,243.28,231.77,212.5,252.8,410.1,644.1,2026-09-01 14:00:26,2026-09-02 03:39:36
2026-09-02 05:00:00,265.44,147.85,210.92,163.8,227.6,227.18,226.64,291.7,628.1,891.6,2026-09-01 15:25:34,2026-09-02 04:39:21
2026-09-02 06:00:00,326.37,155.38,248.5,197.12,234.19,244.07,262.63,506.5,699.5,1165.9,2026-09-01 14:00:26,2026-09-02 05:39:53
2026-09-02 07:00:00,359.15,-43.71,253.75,204.0,163.91,249.82,261.02,449.5,634.7,942.2,2026-09-01 14:28:17,2026-09-02 06:39:25
2026-09-02 08:00:00,281.58,128.89,209.96,208.0,162.82,186.04,203.25,734.3,738.2,1326.9,2026-09-01 14:22:54,2026-09-02 07:39:27
2026-09-02 09:00:00,254.14,115.51,169.24,147.9,191.18,160.89,164.69,873.4,734.3,1483.3,2026-09-01 14:31:31,2026-09-02 08:39:41
2026-09-02 10:00:00,246.31,61.43,144.22,143.02,71.79,145.04,142.37,988.0,933.9,1754.2,2026-09-01 14:40:22,2026-09-02 09:39:18
2026-09-02 11:00:00,156.98,15.28,105.99,115.08,135.0,86.8,100.88,777.6,712.9,1279.4,2026-09-01 14:20:02,2026-09-02 10:39:40
2026-09-02 12:00:00,139.78,40.25,90.06,103.0,56.01,78.82,84.69,805.5,1326.1,1975.3,2026-09-01 14:38:01,2026-09-02 11:39:28
2026-09-02 13:00:00,152.79,19.89,83.75,100.99,47.32,80.78,77.99,675.0,1313.0,1872.3,2026-09-01 14:37:36,2026-09-02 12:39:52
2026-09-02 14:00:00,193.11,-6.1,86.14,104.57,32.71,82.67,82.38,480.5,888.7,1295.7,2026-09-01 14:37:16,2026-09-02 13:39:59
2026-09-02 15:00:00,290.64,-45.99,95.8,124.33,-4.36,71.23,92.47,788.7,774.0,1466.6,2026-09-01 14:43:45,2026-09-02 14:39:03
2026-09-02 16:00:00,179.8,-24.62,130.67,147.58,113.78,105.04,126.68,925.5,889.7,1629.0,2026-09-01 14:42:34,2026-09-02 15:39:32
2026-09-02 17:00:00,256.24,73.12,173.54,197.34,195.55,157.62,165.15,1236.4,1238.8,2243.4,2026-09-01 15:09:18,2026-09-02 16:39:34
2026-09-02 18:00:00,448.0,9.99,230.13,221.13,311.98,198.25,212.49,917.6,1055.3,1803.9,2026-09-01 14:00:26,2026-09-02 17:39:54
2026-09-02 19:00:00,568.95,211.34,316.82,233.8,391.17,296.09,293.49,606.9,533.7,1040.1,2026-09-01 14:21:19,2026-09-02 18:39:20
2026-09-02 20:00:00,809.56,224.91,334.6,230.75,527.5,404.04,339.08,908.4,819.9,1671.9,2026-09-01 14:11:53,2026-09-02 19:39:43
2026-09-02 21:00:00,750.0,191.0,280.94,227.27,219.54,335.66,311.3,609.7,586.8,1118.1,2026-09-01 14:17:38,2026-09-02 20:39:58
2026-09-02 22:00:00,382.62,166.4,216.96,202.17,234.35,205.44,220.56,751.8,834.9,1531.0,2026-09-01 14:53:56,2026-09-02 21:39:54
2026-09-02 23:00:00,417.15,92.4,183.15,174.41,191.2,182.57,183.84,422.3,559.9,904.1,2026-09-01 14:29:55,2026-09-02 22:39:13
2026-09-03 00:00:00,214.03,113.72,180.47,152.65,113.72,180.0,180.72,335.5,275.8,574.8,2026-09-02 14:15:43,2026-09-02 23:39:58
2026-09-03 01:00:00,243.08,124.4,171.43,165.6,173.07,169.59,171.04,391.5,210.7,557.5,2026-09-02 14:32:46,2026-09-03 00:39:21
2026-09-03 02:00:00,386.02,-72.89,158.07,147.09,166.63,159.18,158.37,404.2,382.5,748.6,2026-09-02 14:00:28,2026-09-03 01:39:11
2026-09-03 03:00:00,319.73,134.28,148.46,140.97,187.76,157.54,150.76,654.2,484.6,1111.7,2026-09-02 15:00:18,2026-09-03 02:39:31
2026-09-03 04:00:00,188.25,132.58,146.64,138.43,178.14,158.7,152.84,639.2,634.7,1238.7,2026-09-02 14:55:05,2026-09-03 03:39:59
2026-09-03 05:00:00,221.5,135.05,150.51,141.48,210.25,159.47,156.22,595.4,537.8,1081.5,2026-09-02 14:40:55,2026-09-03 04:39:38
2026-09-03 06:00:00,230.26,143.81,173.13,169.05,195.92,185.86,179.33,733.8,682.2,1346.7,2026-09-02 14:00:28,2026-09-03 05:39:26
2026-09-03 07:00:00,213.26,84.11,185.18,197.18,90.24,184.06,185.79,1015.4,815.7,1549.7,2026-09-02 14:10:39,2026-09-03 06:39:46
2026-09-03 08:00:00,237.91,50.21,160.49,172.2,84.44,132.98,149.93,952.2,644.7,1478.9,2026-09-02 14:00:28,2026-09-03 07:39:56
2026-09-03 09:00:00,251.49,58.68,117.58,175.21,112.78,106.05,108.97,1263.2,972.1,2004.1,2026-09-02 14:00:36,2026-09-03 08:39:45
2026-09-03 10:00:00,149.07,9.0,85.12,103.05,36.48,83.37,78.17,1260.8,1118.0,2085.5,2026-09-02 14:15:31,2026-09-03 09:39:20
2026-09-03 11:00:00,107.5,-20.79,43.22,53.24,-1.9,19.26,35.65,632.6,595.8,1164.1,2026-09-02 14:30:17,2026-09-03 10:39:24
2026-09-03 12:00:00,71.77,-38.01,13.14,28.7,14.98,-0.49,4.84,466.7,554.0,916.1,2026-09-02 14:20:10,2026-09-03 11:39:38
2026-09-03 13:00:00,67.27,-6.35,9.0,17.09,9.12,2.9,1.94,590.8,654.0,1109.7,2026-09-02 14:00:28,2026-09-03 12:39:27
2026-09-03 14:00:00,31.22,-17.78,7.05,13.56,-10.88,1.04,0.55,648.8,525.7,1078.5,2026-09-02 14:00:28,2026-09-03 13:39:14
2026-09-03 15:00:00,74.21,-49.96,10.71,22.78,12.14,2.06,2.7,601.1,390.3,907.7,2026-09-02 14:16:50,2026-09-03 14:39:34
2026-09-03 16:00:00,109.02,-4.98,50.18,87.88,20.87,31.02,34.7,514.7,509.4,951.0,2026-09-02 14:21:59,2026-09-03 15:39:46
2026-09-03 17:00:00,168.27,0.26,111.02,145.06,150.2,109.62,110.65,681.7,620.4,1175.6,2026-09-02 14:26:18,2026-09-03 16:39:23
2026-09-03 18:00:00,198.5,74.43,163.48,153.6,169.29,160.92,162.3,892.6,1106.3,1779.5,2026-09-02 14:23:33,2026-09-03 17:39:54
2026-09-03 19:00:00,228.58,20.31,174.13,159.59,164.89,163.26,165.61,752.9,898.2,1563.8,2026-09-02 14:02:23,2026-09-03 18:39:20
2026-09-03 20:00:00,229.56,3.71,187.18,175.5,180.49,164.82,173.85,542.3,892.4,1330.3,2026-09-02 14:04:21,2026-09-03 19:39:55
2026-09-03 21:00:00,225.57,-133.54,165.53,183.13,153.4,151.5,157.61,848.9,1025.5,1643.9,2026-09-02 14:03:17,2026-09-03 20:39:53
2026-09-03 22:00:00,203.35,89.13,155.19,166.95,149.91,146.35,150.26,711.8,832.7,1447.1,2026-09-02 14:12:04,2026-09-03 21:39:13
2026-09-03 23:00:00,177.28,82.71,150.75,165.23,113.03,141.16,145.65,566.3,620.0,1098.2,2026-09-02 14:25:26,2026-09-03 22:39:31
2026-09-04 00:00:00,186.29,115.9,139.62,127.3,180.55,128.35,137.73,405.4,294.8,676.9,2026-09-03 14:25:03,2026-09-03 23:39:50
2026-09-04 01:00:00,184.59,72.72,142.45,132.59,165.7,153.81,143.5,337.7,382.2,671.9,2026-09-03 14:18:12,2026-09-04 00:39:38
2026-09-04 02:00:00,204.49,115.11,140.29,115.11,154.22,155.96,145.2,368.4,353.0,694.5,2026-09-03 14:01:03,2026-09-04 01:39:59
2026-09-04 03:00:00,182.18,93.38,135.95,117.49,128.8,142.62,140.99,387.2,332.8,692.5,2026-09-03 14:20:01,2026-09-04 02:39:42
2026-09-04 04:00:00,153.98,-18.4,132.94,109.09,127.32,127.23,135.68,713.4,430.4,1029.1,2026-09-03 14:00:25,2026-09-04 03:39:26
2026-09-04 05:00:00,227.2,91.34,138.38,123.56,193.3,137.44,140.17,490.4,349.5,751.2,2026-09-03 14:38:25,2026-09-04 04:39:52
2026-09-04 06:00:00,309.29,-36.08,178.83,156.85,210.82,201.65,185.34,711.8,832.1,1344.5,2026-09-03 14:00:15,2026-09-04 05:39:48
2026-09-04 07:00:00,347.21,123.32,183.42,144.51,185.33,199.52,192.54,613.9,568.1,1058.8,2026-09-03 14:12:24,2026-09-04 06:39:56
2026-09-04 08:00:00,433.31,120.2,174.13,158.94,136.56,173.7,176.13,605.6,827.9,1265.0,2026-09-03 14:00:55,2026-09-04 07:39:44
2026-09-04 09:00:00,228.29,49.04,140.85,106.1,174.51,148.37,143.17,718.6,685.2,1252.9,2026-09-03 14:07:58,2026-09-04 08:39:57
2026-09-04 10:00:00,269.76,3.6,80.65,84.1,19.81,97.04,82.98,1222.3,1113.0,1980.7,2026-09-03 14:08:00,2026-09-04 09:39:34
2026-09-04 11:00:00,97.37,-4.99,12.59,1.2,3.0,13.61,11.28,815.8,827.6,1540.3,2026-09-03 14:16:23,2026-09-04 10:39:50
2026-09-04 12:00:00,19.0,-20.7,-0.08,1.5,2.57,0.22,-0.18,719.6,847.2,1482.6,2026-09-03 14:08:20,2026-09-04 11:39:23
2026-09-04 13:00:00,22.03,-8.99,-0.63,6.2,-0.2,-0.03,-0.11,757.2,816.4,1495.6,2026-09-03 14:08:00,2026-09-04 12:39:45
2026-09-04 14:00:00,27.55,-33.4,-0.83,6.6,-4.19,-0.81,-0.6,604.9,705.6,1198.5,2026-09-03 14:08:01,2026-09-04 13:39:29
2026-09-04 15:00:00,34.91,-35.06,-0.51,-0.15,-1.0,-1.15,-0.84,689.8,608.5,1231.1,2026-09-03 14:01:24,2026-09-04 14:39:55
2026-09-04 16:00:00,21.68,-119.16,0.39,5.0,-4.6,-0.54,0.07,766.8,853.4,1497.3,2026-09-03 14:11:17,2026-09-04 15:39:23
2026-09-04 17:00:00,84.68,-48.99,8.03,11.5,17.72,2.47,3.0,757.8,848.7,1461.5,2026-09-03 14:20:29,2026-09-04 16:39:15
2026-09-04 18:00:00,129.3,-2.17,51.2,129.2,50.42,29.89,35.1,1091.5,1063.6,2106.4,2026-09-03 14:22:26,2026-09-04 16:44:54
2026-09-04 19:00:00,145.77,31.31,79.52,138.39,47.44,,53.33,721.3,701.8,1396.9,2026-09-03 14:31:06,2026-09-04 16:44:48
2026-09-04 20:00:00,142.8,53.23,99.35,135.99,58.93,,66.77,309.5,391.0,693.3,2026-09-03 14:23:29,2026-09-04 16:44:40
2026-09-04 21:00:00,136.2,50.02,85.22,134.61,54.2,,,316.5,450.7,759.5,2026-09-03 14:30:35,2026-09-04 16:44:42
2026-09-04 22:00:00,127.99,44.22,72.64,120.04,50.67,,,246.4,536.0,779.9,2026-09-03 15:03:08,2026-09-04 16:44:00
2026-09-04 23:00:00,107.34,22.8,60.32,87.03,42.41,,,390.7,423.2,797.8,2026-09-03 14:00:25,2026-09-04 16:44:19
