date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-07-11 13:00:00,41.71,2.17,14.18,16.51,20.88,22.11,14.24,133.6,150.6,270.0,2026-07-10 14:47:10,2026-07-11 11:44:00
2026-07-11 14:00:00,30.0,0.0,12.34,16.07,1.07,4.12,13.06,89.4,114.3,195.6,2026-07-10 14:32:01,2026-07-11 12:44:27
2026-07-11 15:00:00,29.94,-2.48,10.66,20.1,-0.59,0.72,9.76,73.2,58.2,129.3,2026-07-10 14:34:50,2026-07-11 13:44:06
2026-07-11 16:00:00,32.67,-2.8,14.86,12.19,3.3,4.59,11.03,127.1,92.3,211.4,2026-07-10 15:34:09,2026-07-11 14:42:00
2026-07-11 17:00:00,35.34,-7.7,16.18,23.33,-3.46,-0.67,11.09,222.8,102.3,293.3,2026-07-10 14:25:31,2026-07-11 15:42:00
2026-07-11 18:00:00,35.6,-5.0,18.52,29.36,-2.32,-0.1,8.05,204.7,57.2,253.7,2026-07-10 14:31:07,2026-07-11 16:42:48
2026-07-11 19:00:00,38.49,0.0,17.72,27.72,2.56,6.11,9.04,205.3,30.5,227.4,2026-07-10 14:35:07,2026-07-11 17:44:05
2026-07-11 20:00:00,34.63,-24.18,8.56,34.32,-1.82,-4.8,-0.32,209.5,39.3,245.0,2026-07-10 14:32:45,2026-07-11 18:44:57
2026-07-11 21:00:00,52.03,-8.79,4.26,-0.05,-3.5,-5.32,-1.35,163.8,63.0,220.2,2026-07-10 14:40:26,2026-07-11 19:44:30
2026-07-11 22:00:00,45.0,-13.42,-0.19,10.04,-9.4,-9.85,-3.24,156.1,125.5,265.7,2026-07-10 14:31:45,2026-07-11 20:42:35
2026-07-11 23:00:00,45.0,-16.77,-1.66,16.01,-1.5,-4.56,-5.37,154.4,126.0,268.8,2026-07-10 14:30:55,2026-07-11 21:44:59
2026-07-12 00:00:00,7.56,-8.92,-1.09,2.94,-8.92,-4.32,-1.52,56.1,68.9,119.3,2026-07-11 15:39:32,2026-07-11 22:44:48
2026-07-12 01:00:00,3.0,-59.08,-5.29,-3.46,-30.97,-28.88,-5.94,100.0,97.5,195.3,2026-07-11 14:25:50,2026-07-11 23:43:03
2026-07-12 02:00:00,2.54,-51.24,-9.05,-3.46,-33.25,-26.35,-10.43,96.2,110.7,194.2,2026-07-11 14:20:25,2026-07-12 00:44:53
2026-07-12 03:00:00,2.71,-49.37,-16.11,-3.46,-45.69,-37.71,-25.99,101.2,84.0,174.0,2026-07-11 14:20:30,2026-07-12 01:44:47
2026-07-12 04:00:00,3.8,-60.01,-25.25,3.8,-57.59,-54.06,-36.95,78.5,69.0,139.8,2026-07-11 14:25:40,2026-07-12 02:41:18
2026-07-12 05:00:00,2.62,-141.78,-30.8,-10.07,-52.7,-61.87,-42.99,65.2,69.9,130.4,2026-07-11 15:35:58,2026-07-12 03:40:01
2026-07-12 06:00:00,14.52,-61.9,-22.35,4.09,-47.04,-38.02,-30.0,65.1,114.1,167.1,2026-07-11 15:58:05,2026-07-12 04:44:00
2026-07-12 07:00:00,57.29,-44.2,-9.03,22.51,1.54,-4.82,-10.15,79.6,131.0,202.1,2026-07-11 14:31:09,2026-07-12 05:44:58
2026-07-12 08:00:00,23.37,-136.26,0.12,18.95,-5.0,1.36,0.38,37.4,49.0,77.4,2026-07-11 14:30:35,2026-07-12 06:44:00
2026-07-12 09:00:00,20.78,-91.02,2.88,20.35,-6.85,-1.9,1.89,82.2,114.6,181.0,2026-07-11 14:31:56,2026-07-12 07:44:59
2026-07-12 10:00:00,13.72,-5.0,2.31,3.21,-2.04,-0.67,2.38,69.6,167.6,233.7,2026-07-11 14:30:03,2026-07-12 08:40:21
2026-07-12 11:00:00,9.63,-8.38,0.18,6.65,-6.49,-5.73,-0.5,70.9,190.7,247.9,2026-07-11 14:39:12,2026-07-12 09:40:40
2026-07-12 12:00:00,29.2,-8.93,-2.35,29.2,-6.48,-7.17,-4.32,71.2,227.7,294.7,2026-07-11 14:20:08,2026-07-12 10:44:00
2026-07-12 13:00:00,15.14,-11.9,-4.65,0.98,-6.19,-5.39,-6.7,52.9,247.1,295.8,2026-07-11 15:00:32,2026-07-12 11:44:50
2026-07-12 14:00:00,11.32,-11.45,-3.57,4.29,-11.0,-3.51,-4.16,75.9,188.0,252.2,2026-07-11 14:31:34,2026-07-12 12:44:28
2026-07-12 15:00:00,11.64,-8.9,-1.1,9.51,-2.36,-2.55,-1.44,52.2,140.2,183.3,2026-07-11 15:01:41,2026-07-12 13:40:14
2026-07-12 16:00:00,13.07,-21.9,-0.74,5.01,-11.98,-8.2,-2.14,49.4,145.6,191.2,2026-07-11 16:38:29,2026-07-12 14:43:24
2026-07-12 17:00:00,20.16,-26.96,-7.3,4.82,-4.3,-10.56,-8.55,108.0,108.1,201.1,2026-07-11 15:15:39,2026-07-12 15:43:55
2026-07-12 18:00:00,22.15,-24.42,-5.49,17.0,-15.23,-10.55,-8.52,74.5,97.7,159.3,2026-07-11 14:25:35,2026-07-12 16:41:00
2026-07-12 19:00:00,23.21,-14.41,-3.7,19.32,4.39,-2.58,-8.87,145.0,245.8,364.6,2026-07-11 14:30:55,2026-07-12 17:42:13
2026-07-12 20:00:00,34.98,-15.08,-4.44,19.4,-3.46,1.51,-7.04,177.1,182.4,342.8,2026-07-11 14:30:50,2026-07-12 18:44:48
2026-07-12 21:00:00,20.17,-11.99,-2.7,7.39,-0.12,-0.92,-2.28,156.3,224.7,347.5,2026-07-11 17:49:15,2026-07-12 19:44:00
2026-07-12 22:00:00,17.86,-11.15,-3.35,10.6,0.26,1.07,0.91,147.1,229.6,328.5,2026-07-11 17:01:55,2026-07-12 20:44:00
2026-07-12 23:00:00,34.22,-11.6,-0.58,-3.46,2.57,3.52,3.14,131.3,151.9,258.7,2026-07-11 14:34:35,2026-07-12 21:44:00
2026-07-13 00:00:00,61.6,-9.05,1.56,-8.44,4.26,3.58,6.5,32.7,50.7,70.7,2026-07-12 15:14:47,2026-07-12 22:40:32
2026-07-13 01:00:00,50.0,-15.75,1.06,-1.2,2.43,-4.49,4.46,41.4,55.4,71.7,2026-07-12 15:40:27,2026-07-12 23:44:00
2026-07-13 02:00:00,10.57,-105.4,-3.47,-15.48,-2.01,-8.44,-2.22,29.4,57.0,69.7,2026-07-12 14:39:42,2026-07-13 00:44:00
2026-07-13 03:00:00,15.13,-30.08,-2.31,-15.82,-30.01,-6.09,-2.16,30.0,61.9,78.8,2026-07-12 14:31:43,2026-07-13 01:44:30
2026-07-13 04:00:00,52.5,-24.28,2.89,-11.97,-1.47,-2.84,6.77,28.0,47.6,53.9,2026-07-12 14:31:19,2026-07-13 02:44:01
2026-07-13 05:00:00,15.02,-174.1,1.76,-3.46,-3.9,-5.32,1.86,41.5,68.3,93.3,2026-07-12 14:35:42,2026-07-13 03:44:44
2026-07-13 06:00:00,24.74,-105.54,4.78,-3.46,-3.46,-1.62,2.64,17.5,31.3,46.0,2026-07-12 14:20:12,2026-07-13 04:42:00
2026-07-13 07:00:00,44.26,0.1,13.54,6.51,30.02,13.97,13.15,98.3,100.0,152.8,2026-07-12 15:57:01,2026-07-13 05:44:30
2026-07-13 08:00:00,37.1,-1.31,17.91,15.98,18.2,27.24,19.19,28.4,39.6,58.8,2026-07-12 15:40:18,2026-07-13 06:40:30
2026-07-13 09:00:00,35.18,-3.7,16.42,19.66,24.1,20.8,22.16,16.1,29.1,36.7,2026-07-12 15:56:23,2026-07-13 07:44:01
2026-07-13 10:00:00,34.02,-1.41,17.13,9.07,-1.41,9.27,19.28,42.9,62.1,98.0,2026-07-12 14:36:11,2026-07-13 08:44:47
2026-07-13 11:00:00,25.61,-2.94,12.49,12.3,4.88,6.4,11.61,83.7,96.9,171.0,2026-07-12 16:05:20,2026-07-13 09:43:01
2026-07-13 12:00:00,27.27,-9.5,3.16,16.28,4.98,3.97,3.23,5.6,20.1,23.5,2026-07-12 17:23:21,2026-07-13 10:44:35
2026-07-13 13:00:00,17.4,-48.8,2.07,10.59,4.35,4.35,2.37,4.9,14.6,16.3,2026-07-12 14:45:54,2026-07-13 11:14:30
2026-07-13 14:00:00,24.82,-7.55,10.48,-3.46,21.61,15.79,13.82,22.4,53.1,68.3,2026-07-12 14:20:06,2026-07-13 12:44:56
2026-07-13 15:00:00,43.95,-11.22,20.35,-3.46,37.61,23.13,23.3,20.4,61.6,71.1,2026-07-12 14:20:10,2026-07-13 13:40:10
2026-07-13 16:00:00,39.3,-3.46,21.42,17.06,25.9,22.78,26.94,29.9,76.7,92.6,2026-07-12 14:32:03,2026-07-13 14:41:55
2026-07-13 17:00:00,71.07,-3.45,27.9,24.6,27.59,37.08,33.86,43.2,61.4,74.8,2026-07-12 22:20:11,2026-07-13 15:44:59
2026-07-13 18:00:00,78.19,1.0,21.88,17.52,14.63,29.68,23.05,44.9,38.7,49.7,2026-07-12 16:30:55,2026-07-13 16:40:37
2026-07-13 19:00:00,44.11,-46.3,18.93,16.72,26.85,22.51,18.34,56.6,56.6,67.1,2026-07-12 16:31:04,2026-07-13 17:44:29
2026-07-13 20:00:00,39.06,3.89,21.46,23.2,11.92,21.41,22.1,40.2,43.0,45.5,2026-07-12 15:49:30,2026-07-13 18:44:30
2026-07-13 21:00:00,49.41,-3.41,19.97,49.41,20.0,19.51,20.52,55.5,57.6,57.6,2026-07-12 14:31:49,2026-07-13 19:44:48
2026-07-13 22:00:00,57.24,-0.08,25.76,30.58,40.14,41.37,26.49,85.2,84.6,89.7,2026-07-13 13:30:49,2026-07-13 20:44:30
2026-07-13 23:00:00,68.5,-3.5,31.09,22.45,39.8,42.59,34.42,115.5,88.2,131.6,2026-07-12 17:04:43,2026-07-13 21:44:49
2026-07-14 00:00:00,55.43,12.13,30.3,16.79,27.93,26.27,33.07,156.1,113.6,247.2,2026-07-13 14:55:48,2026-07-13 22:44:00
2026-07-14 01:00:00,80.66,4.6,30.07,12.03,44.63,42.19,34.59,169.1,77.0,236.9,2026-07-13 14:38:24,2026-07-13 23:44:00
2026-07-14 02:00:00,54.35,7.35,30.13,10.18,15.59,18.69,36.17,186.7,122.0,280.0,2026-07-13 15:01:56,2026-07-14 00:44:00
2026-07-14 03:00:00,46.82,7.84,27.72,7.91,26.2,20.21,31.29,170.2,81.0,233.8,2026-07-13 14:37:41,2026-07-14 01:44:06
2026-07-14 04:00:00,44.98,-3.46,24.87,3.3,15.34,22.84,25.58,193.6,167.0,340.8,2026-07-13 14:20:26,2026-07-14 02:43:28
2026-07-14 05:00:00,41.85,2.72,25.75,2.72,11.06,15.11,26.07,167.9,109.8,252.8,2026-07-13 14:30:48,2026-07-14 03:44:12
2026-07-14 06:00:00,42.74,9.31,30.42,20.64,12.31,21.89,30.29,137.5,129.5,245.1,2026-07-13 16:09:13,2026-07-14 04:44:49
2026-07-14 07:00:00,49.56,-3.26,24.8,24.33,9.5,8.32,20.67,124.7,290.3,361.8,2026-07-13 14:38:46,2026-07-14 05:43:50
2026-07-14 08:00:00,54.73,-0.04,24.5,25.75,34.33,17.43,13.12,111.7,271.2,339.3,2026-07-13 14:37:56,2026-07-14 06:44:30
2026-07-14 09:00:00,44.84,0.62,18.53,27.55,3.99,4.96,8.15,81.1,232.9,276.3,2026-07-13 16:04:46,2026-07-14 07:41:42
2026-07-14 10:00:00,48.14,0.8,16.13,21.45,12.76,6.37,6.19,110.0,281.6,355.2,2026-07-13 16:01:34,2026-07-14 08:44:30
2026-07-14 11:00:00,49.82,-0.21,11.29,19.66,6.21,10.36,7.53,110.5,223.3,310.0,2026-07-13 16:16:07,2026-07-14 09:44:00
2026-07-14 12:00:00,33.09,-11.84,7.56,7.06,1.13,8.91,6.93,101.8,121.0,200.4,2026-07-13 15:16:41,2026-07-14 10:44:12
2026-07-14 13:00:00,25.3,-5.3,5.73,25.0,4.26,4.03,4.66,96.8,84.2,156.7,2026-07-13 16:34:28,2026-07-14 11:40:00
2026-07-14 14:00:00,33.72,-4.99,5.57,-3.46,5.87,1.68,4.37,107.7,84.8,177.2,2026-07-13 14:20:10,2026-07-14 12:44:30
2026-07-14 15:00:00,26.08,-5.0,5.8,-3.46,4.6,2.9,3.83,102.9,127.5,211.8,2026-07-13 14:36:10,2026-07-14 13:44:44
2026-07-14 16:00:00,58.85,0.1,9.73,23.1,5.4,10.86,9.17,88.9,170.9,243.2,2026-07-13 15:20:42,2026-07-14 14:40:05
2026-07-14 17:00:00,30.89,0.6,7.95,22.42,4.8,,6.35,57.4,95.0,134.9,2026-07-13 16:44:23,2026-07-14 14:36:40
2026-07-14 18:00:00,41.06,5.1,14.55,25.69,7.64,,8.79,55.2,82.2,120.0,2026-07-13 14:35:01,2026-07-14 14:43:45
2026-07-14 19:00:00,43.86,5.9,15.86,25.3,10.1,,,77.3,65.0,122.8,2026-07-13 14:34:10,2026-07-14 14:42:36
2026-07-14 20:00:00,43.18,1.44,11.59,22.02,12.55,,,88.3,36.0,114.3,2026-07-13 14:31:45,2026-07-14 14:39:57
2026-07-14 21:00:00,43.34,0.35,11.68,24.78,8.22,,,83.4,15.0,94.6,2026-07-13 16:06:17,2026-07-14 14:34:32
2026-07-14 22:00:00,46.78,-2.22,9.7,1.62,5.8,,,164.7,29.9,176.0,2026-07-13 16:04:45,2026-07-14 14:30:34
2026-07-14 23:00:00,38.19,-7.63,7.35,-4.42,6.89,,,181.3,32.4,196.1,2026-07-13 14:34:20,2026-07-14 14:31:05
